"","train","test"
"Accuracy","0.964566020313943","0.944"
"Kappa","0.840405991957443","0.832535885167464"
"AccuracyLower","0.960456014154551","0.907825733673323"
"AccuracyUpper","0.968359637450733","0.969049595380838"
"AccuracyNull","0.88769621421976","0.8"
"AccuracyPValue","7.87165455371334e-150","8.46307361879968e-11"
"McnemarPValue","6.67397373789137e-47","0.18144920772142"
"Sensitivity","0.972250770811922","0.92"
"Specificity","0.963593810947861","0.95"
"Pos Pred Value","0.771615008156607","0.821428571428571"
"Neg Pred Value","0.996369991933315","0.979381443298969"
"Precision","0.771615008156607","0.821428571428571"
"Recall","0.972250770811922","0.92"
"F1","0.860391086857663","0.867924528301887"
"Prevalence","0.11230378578024","0.2"
"Detection Rate","0.109187442289935","0.184"
"Detection Prevalence","0.141505078485688","0.224"
"Balanced Accuracy","0.967922290879891","0.935"
"positive","1","1"
"th","0.3877","0.3877"
"RMSE","0.188239155560306","0.236643191323985"
"fbeta","1","1"
"fscore","0.860391086857663","0.867924528301887"
"f050","0.804832397481708","0.839416058394161"
"f075","0.833538927853946","0.854383358098068"
"f100","0.860391086857663","0.867924528301887"
"auc","0.995646865311399","0.9836"
